HotelName,Address,OriginalRentNight,Discount,AmountPayableNight,Rating,Facility,ReviewRating,RoomQuality,Location
Super OYO Collection O Hotel Sunshine Near Inox,"Near New White House, Koregaon Park,Pune·       4.6 km",5528.0,67,1780.0,4.5, Parking facility  Free Wifi  Geyser  + 8 more,1474,Excellent,Pune
OYO Home Saraswati Niwas Vadgaon Budruk Near Fun Time Multiplex,"Vadgaon Budruk, Pune·       6.5 km",3814.0,67,1228.0,4.2, Parking facility  Reception  Free Wifi  + 13 more,1289,Very Good,Pune
Super OYO Flagship Chaitanya Near Fun Time Multiplex,"Near Jain Mandir, Jadhav Nagar Lane No. 11, Pune·       6.6 km",5458.0,67,1758.0,5.0, Free Wifi  AC  TV  + 3 more,2146,Fabulous,Pune
Capital O Hotel Span Executive Near Shaniwar Wada,"Near Maruti Mandir, Revenue Colony, Pune·       1.2 km",6234.0,65,2182.0,3.3, Reception  Free Wifi  Power backup  + 7 more,1607,very good,Pune
OYO SilverKey Near Arup Hospital Near Pune Airport,"Near Tempo Chowk, Vadgaon Sheri, Pune·       7.6 km",3422.0,64,1198.0,3.5, Reception  Free Wifi  Bedside Table / Desk  + 14 more,2599,Good,Pune
Collection O Hotel Gargi Deluxe,"India 411030, Pune·       2.0 km",5499.0,64,1925.0,3.8, Parking facility  Private entrance  Reception  + 10 more,232,Good,Pune
Flagship Sunshine Inn Near Lal Mahal,"Station Road, Pune·       1.3 km",5294.0,65,1853.0,3.9, Reception  Free Wifi  Caretaker  + 15 more,1614,Good,Pune
Super OYO Rk's Regency Near Fun Time Multiplex,"Near Dhayari Phata, Wadgaon Budruk, Pune·       8.1 km",5837.0,65,2043.0,5.0, Private entrance  Parking facility  Elevator  + 9 more,2776,Fabulous,Pune
OYO Home Peaceful Stay Keshav Nagar Near Amanora Mall,"Mundhwa, Pune·       9.8 km",3631.0,67,1169.0,3.7, Reception  Free Wifi  Power backup  + 15 more,1537,Good,Pune
Collection O Hotel Rajdhani Near Lal Mahal,"Near SBI, Somwar Peth, Pune·       1.2 km",6615.0,65,2315.0,3.5, Private entrance  Parking facility  Reception  + 11 more,789,Good,Pune
Flagship Sbk Icon Near Fun Time Multiplex,"Near Joshi Wadewala, Katraj Bypass, Pune·       7.5 km",2797.0,65,979.0,3.7, Parking facility  Reception  Free Wifi  + 8 more,869,Good,Pune
OYO The Orchid Guest House Near Phugewadi Metro Station,"Near Laxmi Mata Mandir, Pune·       5.5 km",4291.0,67,1382.0,3.4, Hair Dryer  Parking facility  Free Wifi  + 11 more,263,very good,Pune
Collection O Kapil Residency Parage Chowk Near Lal Mahal,"Near Pune Railway Station, Pune·       0.8 km",6357.0,65,2225.0,3.5, Parking facility  Reception  Free Wifi  + 11 more,734,Good,PunePune
Collection O Hotel Royce Studios Near Pune Airport,"Chandannagar, Pune·       9.0 km",2912.0,67,946.0,3.3, Ticket tour assistance  Reception  Caretaker  + 22 more,575,very good,Pune
OYO Flagship 79527 Kohinoor Studios,"Koregaon Park, Pune·       4.3 km",4167.0,65,1458.0,3.4, Free Wifi  Geyser  Power backup  + 3 more,588,very good,Pune
Collection O Silver Oak,", Pune·       5.6 km",4568.0,71,1299.0,3.4, Elevator  Free Wifi  Geyser  + 4 more,43,very good,Pune
Flagship Kesar Inn Banquet & Lodging,"Ambegaon Bk, Pune·       7.6 km",6139.0,67,1977.0,3.9, Parking facility  Reception  Free Wifi  + 10 more,346,Good,Pune
Townhouse OAK Hotel Chaitanya Executive Near Fun Time Multiplex,"Near Shree Control Chowk, Dhayari,·       9.2 km",6932.0,65,2426.0,4.6, Parking facility  Free Wifi  Power backup  + 11 more,905,Excellent,
Collection O Zeal College Chowk,"Near Zeal College, Narhe, Pune·       8.9 km",4748.0,65,1662.0,4.2, Doctor on call  Reception  Public washroom  + 19 more,1008,Very Good,Pune
OYO Hotel Gargi Executive Near Shaniwar Wada,"On main street, Near Revenue Colony, Shivaji Nagar, Pune·       1.1 km",6234.0,65,2182.0,3.0, Parking facility  Elevator  Free Wifi  + 9 more,404,very good,Pune
Townhouse OAK The White Castle Near Fun Time Multiplex,"Haveli, Pune·       7.3 km",4928.0,67,1587.0,3.4, Reception  Caretaker  Power backup  + 24 more,814,very good,Pune
Collection O 77140 Silver Oak,"Survey no 112/13/14 Plot no 14  Shanti nagar vishrantwadi 411006 Near shree pure veg restaurant, Pune·       5.6 km",4804.0,65,1681.0,3.6, AC  TV ,51,Good,Pune
SPOT ON 45158 Hotel Greenpark,"Near Bhunde Vasti, Bavdhan, Pune·       9.2 km",2001.0,73,539.0,3.0, Doctor on call  Reception  Ticket tour assistance  + 25 more,72,very good,Pune
OYO Flagship 810306 Glh Stays,"Lane no. 7C, Tingre Nagar, near Himgiri School, Viman Nagar, Pune 411032·       7.3 km",3384.0,65,1184.0,4.0, Elevator  Free Wifi  Geyser  + 4 more,26,Very Good,Pune
OYO Hotel G Residency Near INOX,"India, Pune·       4.3 km",3905.0,67,1258.0,3.2, AC  TV ,232,very good,Pune
Flagship Vys Inn,", Pune·       7.3 km",5355.0,67,1725.0,3.5, AC  TV ,64,Good,Pune
OYO Flagship 62160 Ms Hospitality,"Near The K Factory, Baner-Aundh Road, Pune·       7.8 km",3640.0,68,1156.0,2.7, Parking facility  Reception  Free Wifi  + 10 more,310,very good,Pune
OYO Hotel Prince Regency Near INOX,"Near Boat Club Road, Yerwada, Pune·       4.1 km",5535.0,65,1937.0,3.1, Private entrance  Parking facility  Reception  + 20 more,65,very good,Pune
Collection O Pearl Inns Executive Near Phoenix Marketcity - Viman Nagar,"Kalyaninagar, Pune·       6.7 km",4137.0,65,1448.0,3.2, AC  TV ,587,very good,Pune
OYO Flagship 79177 Hotel Inn Near Pune Airport,"Adarsh Nagarnull, Pune·       6.8 km",3812.0,65,1334.0,3.0, Free Wifi  Geyser  Power backup  + 3 more,72,very good,Pune
Flagship Felicita Nx Near Seasons Mall,"Kharadi, Pune·       8.5 km",4382.0,67,1411.0,2.6, Reception  Power backup  Security  + 12 more,153,very good,Pune
Collection O 810382 Hotel Diamond Residency,"Viman nagar, Pune·       7.1 km",4062.0,64,1422.0,4.0, Elevator  Free Wifi  Geyser  + 3 more,37,Very Good,Pune
